seed,variant,perturbation,n,auc,eer,tpr5
2024,backbone+rppg,blur_s2,600,0.72664,0.33999999999999997,0.326
2024,backbone+rppg,downscale_2x,600,0.7635,0.31000000000000005,0.366
2024,backbone+rppg,blur_s3,600,0.69618,0.36,0.278
2024,backbone+rppg,noise_s10,600,0.76114,0.33799999999999997,0.39
2024,backbone+rppg,jpeg_q30,600,0.7396,0.34099999999999997,0.352
2024,backbone+rppg,noise_s5,600,0.76258,0.33099999999999996,0.386
2024,backbone+blink,noise_s20,600,0.74348,0.33899999999999997,0.352
2024,backbone+blink,clean,600,0.7763,0.31000000000000005,0.422
2024,backbone+blink,jpeg_q50,600,0.75348,0.32999999999999996,0.376
2024,backbone+blink,blur_s1,600,0.76478,0.31000000000000005,0.376
2024,backbone+blink,downscale_4x,600,0.73152,0.32999999999999996,0.306
2024,backbone+blink,jpeg_q10,600,0.7013,0.33999999999999997,0.24
2024,backbone+blink,blur_s2,600,0.7302,0.32999999999999996,0.33
2024,backbone+blink,downscale_2x,600,0.76702,0.31899999999999995,0.372
2024,backbone+blink,blur_s3,600,0.70318,0.36,0.264
2024,backbone+blink,noise_s10,600,0.76348,0.32899999999999996,0.382
2024,backbone+blink,jpeg_q30,600,0.7408,0.32999999999999996,0.378
2024,backbone+blink,noise_s5,600,0.76386,0.31999999999999995,0.378
2024,full_fusion,noise_s20,600,0.74522,0.32999999999999996,0.348
2024,full_fusion,clean,600,0.7773,0.30000000000000004,0.404
2024,full_fusion,jpeg_q50,600,0.75516,0.32099999999999995,0.38
2024,full_fusion,blur_s1,600,0.76636,0.30900000000000005,0.366
2024,full_fusion,downscale_4x,600,0.73394,0.32999999999999996,0.308
2024,full_fusion,jpeg_q10,600,0.70442,0.33999999999999997,0.25
2024,full_fusion,blur_s2,600,0.73186,0.31999999999999995,0.324
2024,full_fusion,downscale_2x,600,0.76802,0.30200000000000005,0.36
2024,full_fusion,blur_s3,600,0.7044,0.35,0.264
2024,full_fusion,noise_s10,600,0.76482,0.31999999999999995,0.386
2024,full_fusion,jpeg_q30,600,0.74256,0.33999999999999997,0.336
2024,full_fusion,noise_s5,600,0.76508,0.32799999999999996,0.38
